Tank,Mass,Salinity
20160512_CRM,100,32.985
20160512_TANK10,100.13,33.7
20160512_TANK11,99.98,33.8
20160512_TANK12,100.08,33.7
20160512_TANK13,99.94,33.7
20160512_TANK14,99.94,33.7
20160512_TANK15,99.97,33.7
20160512_TANK16,100.1,33.6
20160512_TANK17,100,33.8
20160512_TANK18,100.16,33.7
