Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 2/9",,,,
Measured Values,,"Scope 1/1, Sample 2/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,57.9,,19.6,,
28,0.0400,-27.7,0.0400,19.6,-85.6,
58,0.0800,-51.0,0.0400,19.6,-23.3,
61,0.1200,-51.0,0.0400,19.6,0.0,
65,0.1600,-50.6,0.0400,19.6,0.4,
96,0.2000,-42.0,0.0400,19.6,8.6,
125,0.2400,-33.3,0.0400,19.6,8.7,
145,0.2800,-27.9,0.0400,19.6,5.4,
166,0.3200,-22.5,0.0400,19.6,5.4,
183,0.3600,-18.3,0.0400,19.6,4.2,
198,0.4000,-14.5,0.0400,19.6,3.8,
207,0.4400,-12.2,0.0400,19.6,2.3,
215,0.4800,-9.6,0.0400,19.6,2.6,
223,0.5200,-7.8,0.0400,19.6,1.8,
243,0.5600,-2.3,0.0400,19.6,5.5,
248,0.6000,-0.5,0.0400,19.6,1.8,
252,0.6400,-0.1,0.0400,19.6,0.4,
260,0.6800,2.7,0.0400,19.6,2.8,
265,0.7200,3.6,0.0400,19.6,0.9,
270,0.7600,4.8,0.0400,19.6,1.2,
274,0.8000,5.9,0.0400,19.6,1.1,
294,0.8400,10.5,0.0400,19.6,4.6,
300,0.8800,12.1,0.0400,19.6,1.6,
305,0.9200,13.4,0.0400,19.6,1.3,
310,0.9600,15.0,0.0400,19.6,1.6,
316,1.0000,17.6,0.0400,19.6,2.6,
320,1.0400,18.8,0.0400,19.6,1.2,
326,1.0800,20.6,0.0400,19.6,1.8,
332,1.1200,21.7,0.0400,19.6,1.1,
338,1.1600,23.6,0.0400,19.6,1.9,
345,1.2000,25.4,0.0400,19.6,1.8,
351,1.2400,28.2,0.0400,19.6,2.8,
356,1.2800,29.8,0.0400,19.6,1.6,
362,1.3200,32.3,0.0400,19.6,2.5,
368,1.3600,34.1,0.0400,19.6,1.8,
375,1.4000,35.9,0.0400,19.6,1.8,
381,1.4400,38.0,0.0400,19.6,2.1,
387,1.4800,41.5,0.0400,19.6,3.5,
392,1.5200,43.2,0.0400,19.6,1.7,
398,1.5600,45.4,0.0400,19.6,2.2,
404,1.6000,48.7,0.0400,19.6,3.3,
409,1.6400,51.9,0.0400,19.6,3.2,
414,1.6800,55.0,0.0400,19.6,3.1,
419,1.7200,58.6,0.0400,19.6,3.6,
424,1.7600,61.6,0.0400,19.6,3.0,
429,1.8000,67.4,0.0400,19.6,5.8,
434,1.8400,70.3,0.0400,19.6,2.9,
439,1.8800,74.7,0.0400,19.6,4.4,
462,1.9200,81.0,0.0400,19.6,6.3,
480,1.9600,88.2,0.0400,19.6,7.2,
487,2.0000,96.7,0.0400,19.6,8.5,
495,2.0400,107.7,0.0400,19.6,11.0,
524,2.0800,126.0,0.0400,19.6,18.3,
543,2.1200,143.0,0.0400,19.6,17.0,375.82
555,2.1600,156.7,0.0400,19.6,13.7,332.82
563,2.2000,166.8,0.0400,19.6,10.1,255.89
569,2.2400,174.1,0.0400,19.6,7.3,177.12
576,2.2800,180.2,0.0400,19.6,6.1,133.72
701,2.3000,183.3,0.0200,19.6,3.1,121.31
706,2.3200,185.6,0.0200,19.6,2.3,114.72
711,2.3400,188.0,0.0200,19.6,2.4,106.19
716,2.3600,189.7,0.0200,19.6,1.7,95.72
720,2.3800,191.6,0.0200,19.6,1.9,85.98
725,2.4000,193.5,0.0200,19.6,1.9,83.62
731,2.4200,194.6,0.0200,19.6,1.1,77.83
