"Names","TA","Mass"
"20160411_CRM.csv",2253.92477473041,100.02,NA
"20160411_TANK10.csv",2153.19822504405,99.97,NA
"20160411_TANK11.csv",2152.86706499751,99.97,NA
"20160411_TANK12.csv",2161.44006001733,100.07,NA
"20160411_TANK13.csv",2156.11252899397,100.04,NA
"20160411_TANK14.csv",2150.90860095067,100,NA
"20160411_TANK15.csv",2152.50271307929,100,NA
"20160411_TANK16.csv",2156.01235157636,100.03,NA
"20160411_TANK17.csv",2153.11819972004,100.01,NA
"20160411_TANK18.csv",2154.33431361203,99.96,NA
"20160411mass.csv",NA,NA,NA
"TA 20160411 .csv",NA,NA,NA
