Names,TA,Mass,
20160623_CRM.csv,2274.006896,99.99,NA
20160623_CRM2.csv,2226.514958,100,NA
20160623_CRM3.csv,2252.924946,100,NA
20160623_TANK10.csv,2157.335857,100.01,NA
20160623_TANK11.csv,2161.343743,99.97,NA
20160623_TANK12.csv,2158.491341,100,NA
20160623_TANK13.csv,2158.334198,100.03,NA
20160623_TANK14.csv,2157.986621,100,NA
20160623_TANK15.csv,2165.148455,99.99,NA
20160623_TANK16.csv,2165.998148,100,NA
20160623_TANK17.csv,2194.687953,99.98,NA
20160623_TANK18.csv,2164.305624,100,NA
20160623mass.csv,NA,NA,NA
TA 20160623 .csv,NA,NA,NA
