Fragment.ID,final.mass.g,dead.mass.g
A026,0,1.4459
A027,,
A028,0.7677,0.2994
A029,0.7025,0.0627
A030,0,1.0808
A031,0,1.0989
A032,0,1.1197
A033,0,1.2931
A034,0,1.1264
A035,0,0.7768
A036,0,1.179
A037,0,1.1502
A038,0,2.306
A039,1.2995,0.5901
A040,1.3154,0.522
A041,0,2.399
A042,0,1.3589
A043,0,0.7238
A044,0,2.5096
A045,,
A046,0,0.9598
A047,0,1.6785
A048,,
A049,0,1.2292
A050,0,1.559
A051,0,1.2341
A052,0,1.0336
A053,0,1.0682
A054,0,0.8178
A055,0,1.1006
A056,0,2.0262
A057,0.948,2.1286
A058,0,1.1151
A067,0.7366,0.0981
A068,0.53,0.3487
A069,0.3199,0.5123
A070,0.7529,0.5234
A071,0.2446,0.8618
A072,,
A073,1.6818,0.8941
A074,0.3876,1.5197
A083,0.7702,0.0311
A084,1.2356,0.1735
A085,0.8613,0.4654
A086,0.9686,0.4296
A087,1.861,0
A088,0.96,0.5448
A089,1.7896,0.3741
A090,1.5819,1.4066
A091,1.1845,0.455
A092,1.6329,0.1166
A093,1.2464,0.4215
A094,1.344,0.8533
A095,0.8951,0.2029
A096,0.4936,0.4283
A097,0.8033,0.0766
A098,1.9556,0.4996
A099,,
A100,1.0037,0.331
A101,1.0432,0.2162
A102,0.456,0.5516
A103,0.6712,0.5241
A104,0.6485,0.1081
A105,1.4166,0.8601
A106,0.8548,0.1781
A107,2.0802,0.3902
A108,0.5735,0.1576
A109,0.5432,0.763
A110,0.782,0.235
A111,0.8967,0
A112,,
A113,0.5532,0.1317
A114,0.9481,0.388
A115,0.497,0.1172
A116,,
A117,0,1.6943
A118,1.3904,0.1446
A119,1.172,0.0608
A120,1.0833,0
A121,0.9514,1.0641
A122,0.8533,0.1715
A123,0.9086,0.0708
A124,0,0.748
A125,0.5828,0.2663
