Stnd.ID,surface.area.cm2,mass.g
Stnd1,6.4516,0.0311
Stnd2,25.8064,0.1149
Stnd3,103.226,0.4612
Stnd4,412.902,1.8466
Stnd5,645.16,2.8853
Stnd6,929.03,4.1327
Stnd7,1264.51,5.6084
Stnd8,1651.61,7.2578
Stnd9,2090.32,9.1813
Stnd10,2580.64,11.3466
