Temp,StandardFresh,StandardSalt
21.98,21.578,21.119
22.52,21.582,21.119
22.91,21.58,21.123
23.34,21.584,21.126
23.61,21.585,21.128
24.04,21.588,21.13
24.44,21.587,21.129
24.87,21.595,21.136
25.22,21.589,21.137
25.66,21.593,21.139
26.03,21.598,21.138
26.4,21.597,21.142
26.86,21.603,21.144
27.22,21.602,21.143
27.65,21.604,21.146
28.02,21.61,21.157
28.51,21.61,21.151
28.89,21.609,21.155
29.23,21.613,21.158
29.62,21.618,21.158
30.06,21.615,21.16
30.46,21.614,21.162
30.84,21.617,21.164
31.21,21.622,21.169
