Fragment.ID,History,Treatment,Chamber.Vol.mL
A028,Nonbleached,Ambient,4337
A067,Bleached,Ambient,4340
A069,Bleached,High,4248
A085,Bleached,High,4309
A087,Bleached,Ambient,4141
A091,Bleached,Ambient,4228
A097,Bleached,High,4310
A100,Nonbleached,High,4266
A101,Nonbleached,High,4325
A105,Nonbleached,Ambient,4104
A106,Nonbleached,High,4322
A107,Nonbleached,Ambient,4245
A110,Bleached,Ambient,4308
A111,Bleached,High,4296
A114,Bleached,Ambient,4314
A115,Bleached,High,4360
A119,Nonbleached,Ambient,4318
A120,Nonbleached,High,4348
A123,Nonbleached,High,4376
A125,Nonbleached,Ambient,4363
