Tank,Mass,Salinity
20160606_CRM,99.98,33.607
20160606_TANK10,99.99,33.4
20160606_TANK11,99.97,33.4
20160606_TANK12,100.02,33.4
20160606_TANK13,100.01,33.5
20160606_TANK14,100.01,33.4
20160606_TANK15,99.98,33.5
20160606_TANK16,99.98,33.5
20160606_TANK17,100.03,33.4
20160606_TANK18,100.02,33.4
20160606_H1,97.9,33.4
20160606_H2,100.02,33.4
20160606_H3,100.02,33.5
20160606_H4,99.97,33.4
20160606_S8,100.06,33.4
20160606_S9,100,33.5
20160606_S25,99.98,33.5
20160606_S26,100.02,33.6
20160606_L6,99.97,33.2
