Names,TA,Mass,
20160606_CRM.csv,2214.264817,99.98,NA
20160606_H1.csv,2083.956982,97.9,NA
20160606_H2.csv,2095.74904,100.02,NA
20160606_H3.csv,2080.703687,100.02,NA
20160606_H4.csv,2078.981987,99.97,NA
20160606_L6.csv,2098.319512,99.97,NA
20160606_S25.csv,2089.962669,99.98,NA
20160606_S26.csv,2086.275053,100.02,NA
20160606_S8.csv,2082.084037,100.06,NA
20160606_S9.csv,2092.231339,100,NA
20160606_TANK10.csv,2083.532147,99.99,NA
20160606_TANK11.csv,2086.202168,99.97,NA
20160606_TANK12.csv,2082.847615,100.02,NA
20160606_TANK13.csv,2076.981141,100.01,NA
20160606_TANK14.csv,2078.528183,100.01,NA
20160606_TANK15.csv,2078.679121,99.98,NA
20160606_TANK16.csv,2087.860359,99.98,NA
20160606_TANK17.csv,2078.394491,100.03,NA
20160606_TANK18.csv,2076.205069,100.02,NA
20160606mass.csv,NA,NA,NA
TA 20160606 .csv,NA,NA,NA
