Tank,Mass,Salinity
20160317_CRM,99.89,33.561
20160317_TANK10,100.01,33.6
20160317_TANK11,100.02,34
20160317_TANK12,100.01,34.1
20160317_TANK13,100.18,34.2
20160317_TANK14,100.05,34.1
20160317_TANK15,100.07,34.1
20160317_TANK16,100.05,34.1
20160317_TANK17,100.18,34.1
20160317_TANK18,99.96,34.1
