"Names","TA","Mass"
"20160218_CRM1.csv",2202.13737921795,99.9,NA
"20160218_CRM2.csv",2207.88424603574,100.3,NA
"20160218_Tank10.csv",2148.74957311354,100.61,NA
"20160218_Tank11.csv",2137.91392668787,100.56,NA
"20160218_Tank12.csv",2149.88725165465,100.56,NA
"20160218_Tank13.csv",2169.75414827185,100.36,NA
"20160218_Tank14.csv",2174.66460717321,99.79,NA
"20160218_Tank15.csv",2168.28123909306,99.48,NA
"20160218_Tank16.csv",2162.17191777143,99.8,NA
"20160218_Tank17.csv",2172.29804359742,100.28,NA
"20160218_Tank18.csv",2172.98467404422,100.82,NA
"20160218mass.csv",NA,NA,NA
