Names,TA,Mass
20160129_CRM.csv,2177.207526,100.08
20160129_Tank11.csv,2118.565244,99.96
20160129_Tank12.csv,2137.324132,99.36
20160129_Tank13.csv,2137.762217,99.99
20160129_Tank14.csv,2128.527252,99.99
20160129_Tank15.csv,2125.053287,100.3
20160129_Tank16.csv,2111.679213,99.98
20160129_Tank17.csv,2126.118498,100.53
20160129_Tank18.csv,2129.663099,100.19
20160129_Tank8.csv,2124.699798,100.19
