"Names","TA","Mass"
"20160428_CRM.csv",2207.96942377548,100.03,NA
"20160428_TANK10.csv",2157.72096805018,100.04,NA
"20160428_TANK11.csv",2163.93194981809,100,NA
"20160428_TANK12.csv",2160.87815236244,100.1,NA
"20160428_TANK13.csv",2154.29019914087,99.99,NA
"20160428_TANK14.csv",2160.19678704054,100.02,NA
"20160428_TANK15.csv",2160.80515633457,100.09,NA
"20160428_TANK16.csv",2154.24266523356,100.12,NA
"20160428_TANK17.csv",2167.20371714539,99.97,NA
"20160428_TANK18.csv",2155.678271397,100.08,NA
"20160428mass.csv",NA,NA,NA
"TA 20160428 .csv",NA,NA,NA
