Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 4/9",,,,
Measured Values,,"Scope 1/1, Sample 4/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,53.4,,21.5,,
28,0.0400,-38.2,0.0400,21.5,-91.6,
54,0.0800,-55.9,0.0400,21.5,-17.7,
57,0.1200,-56.3,0.0400,21.5,-0.4,
85,0.1600,-49.7,0.0400,21.5,6.6,
115,0.2000,-41.5,0.0400,21.5,8.2,
143,0.2400,-33.6,0.0400,21.5,7.9,
170,0.2800,-26.3,0.0400,21.5,7.3,
191,0.3200,-19.8,0.0400,21.5,6.5,
210,0.3600,-15.2,0.0400,21.5,4.6,
224,0.4000,-11.5,0.0400,21.5,3.7,
230,0.4400,-8.9,0.0400,21.5,2.6,
256,0.4800,-2.2,0.0400,21.5,6.7,
262,0.5200,-0.6,0.0400,21.5,1.6,
266,0.5600,-0.5,0.0400,21.5,0.1,
270,0.6000,2.6,0.0400,21.5,3.1,
278,0.6400,4.4,0.0400,21.5,1.8,
282,0.6800,5.6,0.0400,21.5,1.2,
305,0.7200,12.4,0.0400,21.5,6.8,
313,0.7600,14.3,0.0400,21.5,1.9,
322,0.8000,16.5,0.0400,21.5,2.2,
329,0.8400,18.2,0.0400,21.5,1.7,
338,0.8800,20.5,0.0400,21.5,2.3,
352,0.9200,23.7,0.0400,21.5,3.2,
362,0.9600,25.9,0.0400,21.5,2.2,
374,1.0000,28.8,0.0400,21.5,2.9,
383,1.0400,31.0,0.0400,21.5,2.2,
396,1.0800,33.8,0.0400,21.5,2.8,
406,1.1200,36.4,0.0400,21.5,2.6,
417,1.1600,39.0,0.0400,21.5,2.6,
425,1.2000,41.3,0.0400,21.5,2.3,
430,1.2400,44.0,0.0400,21.5,2.7,
436,1.2800,46.2,0.0400,21.5,2.2,
451,1.3200,49.5,0.0400,21.5,3.3,
456,1.3600,52.6,0.0400,21.5,3.1,
462,1.4000,54.1,0.0400,21.5,1.5,
469,1.4400,57.1,0.0400,21.5,3.0,
475,1.4800,59.9,0.0400,21.5,2.8,
479,1.5200,62.5,0.0400,21.5,2.6,
485,1.5600,64.6,0.0400,21.5,2.1,
495,1.6000,68.3,0.0400,21.5,3.7,
508,1.6400,71.9,0.0400,21.5,3.6,
514,1.6800,74.8,0.0400,21.5,2.9,
519,1.7200,79.0,0.0400,21.5,4.2,
524,1.7600,83.6,0.0400,21.5,4.6,
529,1.8000,86.3,0.0400,21.5,2.7,
535,1.8400,89.1,0.0400,21.5,2.8,
553,1.8800,95.4,0.0400,21.5,6.3,
558,1.9200,101.3,0.0400,21.5,5.9,
563,1.9600,109.2,0.0400,21.5,7.9,
567,2.0000,114.0,0.0400,21.5,4.8,
571,2.0400,121.6,0.0400,21.5,7.6,
576,2.0800,132.1,0.0400,21.5,10.5,
593,2.1200,142.4,0.0400,21.5,10.3,
599,2.1600,153.7,0.0400,21.5,11.3,253.43
611,2.2000,162.6,0.0400,21.5,8.9,223.41
616,2.2400,170.2,0.0400,21.5,7.6,184.86
620,2.2800,177.0,0.0400,21.5,6.8,150.27
626,2.3200,181.7,0.0400,21.5,4.7,122.54
752,2.3400,184.4,0.0200,21.5,2.7,114.34
757,2.3600,186.6,0.0200,21.5,2.2,104.70
762,2.3800,188.6,0.0200,21.5,2.0,96.34
765,2.4000,191.2,0.0200,21.5,2.6,93.18
769,2.4200,192.1,0.0200,21.5,0.9,83.00
775,2.4400,193.4,0.0200,21.5,1.3,79.93
