Tank,Mass,Salinity
20160516_CRM,100.07,32.985
20160516_TANK10,100.08,33.8
20160516_TANK11,99.96,33.5
20160516_TANK12,99.97,33.5
20160516_TANK13,99.92,33.7
20160516_TANK14,100.02,33.4
20160516_TANK15,100.03,33.4
20160516_TANK16,99.91,33.3
20160516_TANK17,100,33.5
20160516_TANK18,99.9,33.3
