Tank,Mass,Salinity
20160526_CRM,100.02,33
20160526_TANK10,100.09,34.1
20160526_TANK11,100,33.9
20160526_TANK12,100.02,34
20160526_TANK13,100.01,33.9
20160526_TANK14,99.98,33.9
20160526_TANK15,100,33.9
20160526_TANK16,100.02,34.1
20160526_TANK17,100,34.1
20160526_TANK18,99.99,33.9
