"Names","TA","Mass"
"20160526_CRM.csv",2234.00270022327,100.02,NA
"20160526_TANK10.csv",2169.35247571458,100.09,NA
"20160526_TANK11.csv",2151.29765771766,100,NA
"20160526_TANK12.csv",2163.42809826123,100.02,NA
"20160526_TANK13.csv",2162.32055227999,100.01,NA
"20160526_TANK14.csv",2155.99687878005,99.98,NA
"20160526_TANK15.csv",2152.3678663769,100,NA
"20160526_TANK16.csv",2170.06850981261,100.02,NA
"20160526_TANK17.csv",2172.97336713895,100,NA
"20160526_TANK18.csv",2160.93779569528,99.99,NA
"20160526mass.csv",NA,NA,NA
"TA 20160526 .csv",NA,NA,NA
