Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6381


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/06/2016 , 16:45:00,446,446
2,01/06/2016 , 17:00:00,582,582
3,01/06/2016 , 17:15:00,333,333
4,01/06/2016 , 17:30:00,295,295
5,01/06/2016 , 17:45:00,240,240
6,01/06/2016 , 18:00:00,165,165
7,01/06/2016 , 18:15:00,135,135
8,01/06/2016 , 18:30:00,117,117
9,01/06/2016 , 18:45:00,67,67
10,01/06/2016 , 19:00:00,34,34
11,01/06/2016 , 19:15:00,8,8
12,01/06/2016 , 19:30:00,0,0
13,01/06/2016 , 19:45:00,0,0
14,01/06/2016 , 20:00:00,0,0
15,01/06/2016 , 20:15:00,0,0
16,01/06/2016 , 20:30:00,0,0
17,01/06/2016 , 20:45:00,0,0
18,01/06/2016 , 21:00:00,0,0
19,01/06/2016 , 21:15:00,0,0
20,01/06/2016 , 21:30:00,0,0
21,01/06/2016 , 21:45:00,0,0
22,01/06/2016 , 22:00:00,0,0
23,01/06/2016 , 22:15:00,0,0
24,01/06/2016 , 22:30:00,0,0
25,01/06/2016 , 22:45:00,0,0
26,01/06/2016 , 23:00:00,0,0
27,01/06/2016 , 23:15:00,0,0
28,01/06/2016 , 23:30:00,0,0
29,01/06/2016 , 23:45:00,0,0
30,01/06/2016 , 24:00:00,0,0
31,02/06/2016 , 00:15:00,0,0
32,02/06/2016 , 00:30:00,0,0
33,02/06/2016 , 00:45:00,0,0
34,02/06/2016 , 01:00:00,0,0
35,02/06/2016 , 01:15:00,0,0
36,02/06/2016 , 01:30:00,0,0
37,02/06/2016 , 01:45:00,0,0
38,02/06/2016 , 02:00:00,0,0
39,02/06/2016 , 02:15:00,0,0
40,02/06/2016 , 02:30:00,0,0
41,02/06/2016 , 02:45:00,0,0
42,02/06/2016 , 03:00:00,0,0
43,02/06/2016 , 03:15:00,0,0
44,02/06/2016 , 03:30:00,0,0
45,02/06/2016 , 03:45:00,0,0
46,02/06/2016 , 04:00:00,0,0
47,02/06/2016 , 04:15:00,0,0
48,02/06/2016 , 04:30:00,0,0
49,02/06/2016 , 04:45:00,0,0
50,02/06/2016 , 05:00:00,0,0
51,02/06/2016 , 05:15:00,0,0
52,02/06/2016 , 05:30:00,0,0
53,02/06/2016 , 05:45:00,0,0
54,02/06/2016 , 06:00:00,9,9
55,02/06/2016 , 06:15:00,45,45
56,02/06/2016 , 06:30:00,88,88
57,02/06/2016 , 06:45:00,116,116
58,02/06/2016 , 07:00:00,184,184
59,02/06/2016 , 07:15:00,314,314
60,02/06/2016 , 07:30:00,370,370
61,02/06/2016 , 07:45:00,392,392
62,02/06/2016 , 08:00:00,430,430
63,02/06/2016 , 08:15:00,505,505
64,02/06/2016 , 08:30:00,613,613
65,02/06/2016 , 08:45:00,713,713
66,02/06/2016 , 09:00:00,1069,1069
67,02/06/2016 , 09:15:00,1175,1175
68,02/06/2016 , 09:30:00,964,964
69,02/06/2016 , 09:45:00,934,934
70,02/06/2016 , 10:00:00,488,488
71,02/06/2016 , 10:15:00,1179,1179
72,02/06/2016 , 10:30:00,1158,1158
73,02/06/2016 , 10:45:00,1280,1280
74,02/06/2016 , 11:00:00,1432,1432
75,02/06/2016 , 11:15:00,1661,1661
76,02/06/2016 , 11:30:00,1385,1385
77,02/06/2016 , 11:45:00,775,775
78,02/06/2016 , 12:00:00,1238,1238
79,02/06/2016 , 12:15:00,1263,1263
80,02/06/2016 , 12:30:00,1730,1730
81,02/06/2016 , 12:45:00,1855,1855
82,02/06/2016 , 13:00:00,2068,2068
83,02/06/2016 , 13:15:00,2010,2010
84,02/06/2016 , 13:30:00,2197,2197
85,02/06/2016 , 13:45:00,2164,2164
86,02/06/2016 , 14:00:00,1860,1860
87,02/06/2016 , 14:15:00,2079,2079
88,02/06/2016 , 14:30:00,1441,1441
89,02/06/2016 , 14:45:00,1665,1665
90,02/06/2016 , 15:00:00,1668,1668
91,02/06/2016 , 15:15:00,1681,1681
92,02/06/2016 , 15:30:00,1789,1789
93,02/06/2016 , 15:45:00,1474,1474
94,02/06/2016 , 16:00:00,1135,1135
95,02/06/2016 , 16:15:00,1216,1216
96,02/06/2016 , 16:30:00,752,752
97,02/06/2016 , 16:45:00,910,910
98,02/06/2016 , 17:00:00,732,732
99,02/06/2016 , 17:15:00,515,515
100,02/06/2016 , 17:30:00,519,519
101,02/06/2016 , 17:45:00,317,317
102,02/06/2016 , 18:00:00,210,210
103,02/06/2016 , 18:15:00,184,184
104,02/06/2016 , 18:30:00,117,117
105,02/06/2016 , 18:45:00,101,101
106,02/06/2016 , 19:00:00,47,47
107,02/06/2016 , 19:15:00,12,12
108,02/06/2016 , 19:30:00,0,0
109,02/06/2016 , 19:45:00,0,0
110,02/06/2016 , 20:00:00,0,0
