Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6376


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/06/2016 , 16:45:00,401,401
2,01/06/2016 , 17:00:00,407,407
3,01/06/2016 , 17:15:00,220,220
4,01/06/2016 , 17:30:00,196,196
5,01/06/2016 , 17:45:00,162,162
6,01/06/2016 , 18:00:00,113,113
7,01/06/2016 , 18:15:00,92,92
8,01/06/2016 , 18:30:00,80,80
9,01/06/2016 , 18:45:00,46,46
10,01/06/2016 , 19:00:00,24,24
11,01/06/2016 , 19:15:00,6,6
12,01/06/2016 , 19:30:00,1,1
13,01/06/2016 , 19:45:00,0,0
14,01/06/2016 , 20:00:00,0,0
15,01/06/2016 , 20:15:00,0,0
16,01/06/2016 , 20:30:00,0,0
17,01/06/2016 , 20:45:00,0,0
18,01/06/2016 , 21:00:00,0,0
19,01/06/2016 , 21:15:00,0,0
20,01/06/2016 , 21:30:00,0,0
21,01/06/2016 , 21:45:00,0,0
22,01/06/2016 , 22:00:00,0,0
23,01/06/2016 , 22:15:00,0,0
24,01/06/2016 , 22:30:00,0,0
25,01/06/2016 , 22:45:00,0,0
26,01/06/2016 , 23:00:00,0,0
27,01/06/2016 , 23:15:00,0,0
28,01/06/2016 , 23:30:00,0,0
29,01/06/2016 , 23:45:00,0,0
30,01/06/2016 , 24:00:00,0,0
31,02/06/2016 , 00:15:00,0,0
32,02/06/2016 , 00:30:00,0,0
33,02/06/2016 , 00:45:00,0,0
34,02/06/2016 , 01:00:00,0,0
35,02/06/2016 , 01:15:00,0,0
36,02/06/2016 , 01:30:00,0,0
37,02/06/2016 , 01:45:00,0,0
38,02/06/2016 , 02:00:00,0,0
39,02/06/2016 , 02:15:00,0,0
40,02/06/2016 , 02:30:00,0,0
41,02/06/2016 , 02:45:00,0,0
42,02/06/2016 , 03:00:00,0,0
43,02/06/2016 , 03:15:00,0,0
44,02/06/2016 , 03:30:00,0,0
45,02/06/2016 , 03:45:00,0,0
46,02/06/2016 , 04:00:00,0,0
47,02/06/2016 , 04:15:00,0,0
48,02/06/2016 , 04:30:00,0,0
49,02/06/2016 , 04:45:00,0,0
50,02/06/2016 , 05:00:00,0,0
51,02/06/2016 , 05:15:00,0,0
52,02/06/2016 , 05:30:00,0,0
53,02/06/2016 , 05:45:00,0,0
54,02/06/2016 , 06:00:00,6,6
55,02/06/2016 , 06:15:00,31,31
56,02/06/2016 , 06:30:00,59,59
57,02/06/2016 , 06:45:00,78,78
58,02/06/2016 , 07:00:00,122,122
59,02/06/2016 , 07:15:00,207,207
60,02/06/2016 , 07:30:00,246,246
61,02/06/2016 , 07:45:00,263,263
62,02/06/2016 , 08:00:00,289,289
63,02/06/2016 , 08:15:00,343,343
64,02/06/2016 , 08:30:00,425,425
65,02/06/2016 , 08:45:00,496,496
66,02/06/2016 , 09:00:00,899,899
67,02/06/2016 , 09:15:00,862,862
68,02/06/2016 , 09:30:00,694,694
69,02/06/2016 , 09:45:00,656,656
70,02/06/2016 , 10:00:00,338,338
71,02/06/2016 , 10:15:00,806,806
72,02/06/2016 , 10:30:00,795,795
73,02/06/2016 , 10:45:00,881,881
74,02/06/2016 , 11:00:00,994,994
75,02/06/2016 , 11:15:00,1156,1156
76,02/06/2016 , 11:30:00,983,983
77,02/06/2016 , 11:45:00,535,535
78,02/06/2016 , 12:00:00,856,856
79,02/06/2016 , 12:15:00,878,878
80,02/06/2016 , 12:30:00,1202,1202
81,02/06/2016 , 12:45:00,1302,1302
82,02/06/2016 , 13:00:00,1421,1421
83,02/06/2016 , 13:15:00,1359,1359
84,02/06/2016 , 13:30:00,1495,1495
85,02/06/2016 , 13:45:00,1588,1588
86,02/06/2016 , 14:00:00,1303,1303
87,02/06/2016 , 14:15:00,1428,1428
88,02/06/2016 , 14:30:00,1023,1023
89,02/06/2016 , 14:45:00,1199,1199
90,02/06/2016 , 15:00:00,1209,1209
91,02/06/2016 , 15:15:00,1228,1228
92,02/06/2016 , 15:30:00,1340,1340
93,02/06/2016 , 15:45:00,1111,1111
94,02/06/2016 , 16:00:00,908,908
95,02/06/2016 , 16:15:00,1109,1109
96,02/06/2016 , 16:30:00,584,584
97,02/06/2016 , 16:45:00,496,496
98,02/06/2016 , 17:00:00,502,502
99,02/06/2016 , 17:15:00,395,395
100,02/06/2016 , 17:30:00,423,423
101,02/06/2016 , 17:45:00,251,251
102,02/06/2016 , 18:00:00,179,179
103,02/06/2016 , 18:15:00,139,139
104,02/06/2016 , 18:30:00,88,88
105,02/06/2016 , 18:45:00,77,77
106,02/06/2016 , 19:00:00,36,36
107,02/06/2016 , 19:15:00,11,11
108,02/06/2016 , 19:30:00,1,1
109,02/06/2016 , 19:45:00,0,0
110,02/06/2016 , 20:00:00,0,0
111,02/06/2016 , 20:15:00,0,0
