"Names","TA","Mass"
"20160802_CRM.csv",2225.0326963817,99.98,NA
"20160802_TANK10.csv",2135.41815709788,100.05,NA
"20160802_TANK11.csv",2127.46848319379,100.33,NA
"20160802_TANK12.csv",2136.49258295032,100.01,NA
"20160802_TANK13.csv",2134.88588559599,100.29,NA
"20160802_TANK14.csv",2130.13370967327,99.81,NA
"20160802_TANK15.csv",2127.88389746151,99.16,NA
"20160802_TANK16.csv",2131.50371093979,100.04,NA
"20160802_TANK17.csv",2151.01970676626,99.16,NA
"20160802_TANK18.csv",2139.2905248736,99.42,NA
"20160802mass.csv",NA,NA,NA
"TA 20160802 .csv",NA,NA,NA
