Tank,Mass,Salinity
20160802_CRM,99.98,33.331
20160802_TANK10,100.05,33.3
20160802_TANK11,100.33,33.3
20160802_TANK12,100.01,33.3
20160802_TANK13,100.29,33.2
20160802_TANK14,99.81,33.2
20160802_TANK15,99.16,33.3
20160802_TANK16,100.04,33.3
20160802_TANK17,99.16,33.4
20160802_TANK18,99.42,33.2
