"Names","TA","Mass"
"20160211_CRM.csv",2221.55236048273,100.24,NA
"20160211_Tank10.csv",2159.03460614579,100.64,NA
"20160211_Tank11.csv",2155.28169684802,100.24,NA
"20160211_Tank12.csv",2172.09362381372,99.91,NA
"20160211_Tank13.csv",2181.62774895481,99.6,NA
"20160211_Tank14.csv",2175.60380177605,99.93,NA
"20160211_Tank15.csv",2176.20612300847,100.14,NA
"20160211_Tank16.csv",2165.27508575969,99.88,NA
"20160211_Tank17.csv",2171.8238414999,99.87,NA
"20160211_Tank18.csv",2169.80226979263,99.88,NA
"20160211mass.csv",NA,NA,NA
"TA 20160211 .csv",NA,NA,NA
