Tank,Mass ,Salinity
20160303_CRM,100.09,33.6
20160303_TANK10,99.56,33.7
20160303_TANK11,99.21,33.8
20160303_TANK12,100.6,33.9
20160303_TANK13,99.43,34.0
20160303_TANK14,99.38,34.0
20160303_TANK15,100.08,34.1
20160303_TANK16,100.89,34.2
20160303_TANK17,99.52,34.0
20160303_TANK18,99.54,34.0
